entry_id,entry_type,reference_id,amount,currency,entry_date,description
LED-001,REVENUE,ORD-10001,100300,INR,2024-12-07,Revenue from order ORD-10001
LED-002,REVENUE,ORD-10002,160550,INR,2024-12-07,Revenue from order ORD-10002
LED-003,REVENUE,ORD-10003,576560,INR,2024-12-08,Revenue from order ORD-10003
LED-004,FEE_EXPENSE,SETL-9001,112926,INR,2024-12-07,Gateway fee for settlement SETL-9001
LED-005,FEE_EXPENSE,SETL-9002,32110,INR,2024-12-07,Gateway fee for settlement SETL-9002
LED-006,FEE_EXPENSE,SETL-9003,115312,INR,2024-12-08,Gateway fee for settlement SETL-9003
LED-007,FEE_EXPENSE,SETL-9004,67266,INR,2024-12-08,Gateway fee for settlement SETL-9004
LED-008,FEE_EXPENSE,SETL-9005,96494,INR,2024-12-09,Gateway fee for settlement SETL-9005
LED-009,TAX,SETL-9001,20326,INR,2024-12-07,GST 18% on gateway fee for SETL-9001
LED-010,TAX,SETL-9002,5779,INR,2024-12-07,GST 18% on gateway fee for SETL-9002
LED-011,TAX,SETL-9003,20756,INR,2024-12-08,GST 18% on gateway fee for SETL-9003
LED-012,BANK_CREDIT,SETL-9001,5513048,INR,2024-12-09,Bank credit for settlement SETL-9001 via UTR642181600903
LED-013,BANK_CREDIT,SETL-9002,1567611,INR,2024-12-08,Bank credit for settlement SETL-9002 via UTR926818232569
LED-014,BANK_CREDIT,SETL-9003,5629532,INR,2024-12-09,Bank credit for settlement SETL-9003 via UTR523073267793
LED-015,REFUND,REF-2A-001,150000,INR,2024-12-10,Refund for REF-2A-001 payment pay_ejcy127h6gmd47
LED-016,REFUND,REF-2A-002,79750,INR,2024-12-10,Refund for REF-2A-002 payment pay_zx25qbrmqg1ved
LED-017,REFUND,REF-2A-003,111700,INR,2024-12-11,Refund for REF-2A-003 payment pay_rnu8c0s41kssvi
LED-018,REFUND,REF-2A-004,141230,INR,2024-12-12,Refund for REF-2A-004 payment pay_w56fkps0dxme4p
LED-019,REFUND,REF-2A-005,198670,INR,2024-12-13,Refund for REF-2A-005 payment pay_tgv44ftj5ccasb
LED-020,REFUND,REF-2A-006,211700,INR,2024-12-13,Refund for REF-2A-006 payment pay_9zn9i9h0dxho87
LED-021,REFUND,REF-2A-007,38060,INR,2024-12-14,Refund for REF-2A-007 payment pay_83y0224wk0yehv
LED-022,REFUND,REF-2A-008,13040,INR,2024-12-15,Refund for REF-2A-008 payment pay_774rzgyd49pso1
LED-023,REFUND,REF-2A-009,107800,INR,2024-12-15,Refund for REF-2A-009 payment pay_yur4sor8wm9lbb
LED-024,REFUND,REF-2A-010,35800,INR,2024-12-16,Refund for REF-2A-010 payment pay_1kfk7y6qxdsgv6
LED-025,REFUND,REF-2A-014,35600,INR,2024-12-19,Refund for REF-2A-014 payment pay_12v2tg5pizx3hc
LED-026,REFUND,REF-2A-015,42430,INR,2024-12-19,Refund for REF-2A-015 payment pay_2hhihxs58yreg2
LED-027,REFUND,REF-2A-016,489500,INR,2024-12-20,Refund for REF-2A-016 payment pay_qkwqh5k2y77z69
LED-028,REFUND,REF-2A-017,211900,INR,2024-12-20,Refund for REF-2A-017 payment pay_tzjko0mtglhug0
LED-029,REFUND,REF-2A-018,44550,INR,2024-12-21,Refund for REF-2A-018 payment pay_7b1ijiys2n75bx
LED-030,REFUND,REF-2A-019,278200,INR,2024-12-21,Refund for REF-2A-019 payment pay_9q2l48c1cqg433
LED-031,REFUND,REF-2A-020,150000,INR,2024-12-21,Duplicate refund entry for REF-2A-020 (same as LED-015)
LED-032,REFUND,REF-2A-021,79750,INR,2024-12-22,Duplicate refund entry for REF-2A-021 (same as LED-016)
LED-033,REFUND,REF-2A-022,111700,INR,2024-12-22,Duplicate refund entry for REF-2A-022 (same as LED-017)
LED-034,REFUND,REF-2A-023,141230,INR,2024-12-23,Amount mismatch - gateway refund is 200000 but ledger shows 141230
LED-035,REFUND,REF-2A-024,198670,INR,2024-12-23,Amount mismatch - gateway refund is 250000 but ledger shows 198670
LED-036,REFUND,REF-2A-029,35600,INR,2024-12-26,Correctly matched refund REF-2A-029
LED-037,REFUND,REF-2A-030,13040,INR,2024-12-26,Correctly matched refund REF-2A-030
LED-038,FEE_EXPENSE,SETL-2A-001,36000,INR,2024-12-27,Gateway fee for Phase 2A batch settlement SETL-2A-001
LED-039,TAX,SETL-2A-001,6480,INR,2024-12-27,GST 18% on fee for SETL-2A-001
LED-040,BANK_CREDIT,SETL-2A-001,1757520,INR,2024-12-28,Bank credit for SETL-2A-001 batch settlement
LED-041,FEE_EXPENSE,SETL-2A-002,20000,INR,2024-12-28,Gateway fee for SETL-2A-002
LED-042,BANK_CREDIT,SETL-2A-002,979500,INR,2024-12-29,Bank credit for SETL-2A-002 (reported net mismatch scenario)
LED-043,FEE_EXPENSE,SETL-2A-003,30000,INR,2024-12-29,Gateway fee for SETL-2A-003
LED-044,TAX,SETL-2A-003,5400,INR,2024-12-29,GST on fee for SETL-2A-003
LED-045,BANK_CREDIT,SETL-2A-003,764600,INR,2024-12-30,Bank credit for SETL-2A-003 with refund adjustment
LED-046,FEE_EXPENSE,SETL-2A-004,25000,INR,2024-12-30,Gateway fee for SETL-2A-004
LED-047,BANK_CREDIT,SETL-2A-004,1225000,INR,2024-12-31,Bank credit for SETL-2A-004 (GST missing in ledger scenario)
